,Date,Close
244,2018-09-18,6371.3
245,2018-09-17,6281.2
246,2018-09-16,6517.18
247,2018-09-15,6543.2
248,2018-09-14,6512.71
249,2018-09-13,6517.31
250,2018-09-12,6351.8
251,2018-09-11,6321.2
252,2018-09-10,6329.7
253,2018-09-09,6300.86
254,2018-09-08,6225.98
255,2018-09-07,6467.07
256,2018-09-06,6529.17
257,2018-09-05,6792.83
258,2018-09-04,7361.66
259,2018-09-03,7260.06
260,2018-09-02,7272.72
261,2018-09-01,7193.25
262,2018-08-31,7037.58
263,2018-08-30,6978.23
264,2018-08-29,7047.16
265,2018-08-28,7096.28
266,2018-08-27,6884.64
267,2018-08-26,6707.26
268,2018-08-25,6763.19
269,2018-08-24,6719.96
270,2018-08-23,6534.88
271,2018-08-22,6376.71
272,2018-08-21,6488.76
273,2018-08-20,6308.53
274,2018-08-19,6506.07
275,2018-08-18,6423.76
276,2018-08-17,6580.63
277,2018-08-16,6334.73
278,2018-08-15,6308.52
279,2018-08-14,6199.71
280,2018-08-13,6297.57
281,2018-08-12,6322.69
282,2018-08-11,6295.73
283,2018-08-10,6184.71
284,2018-08-09,6568.23
285,2018-08-08,6305.8
286,2018-08-07,6753.12
287,2018-08-06,6951.8
288,2018-08-05,7068.48
289,2018-08-04,7032.85
290,2018-08-03,7434.39
291,2018-08-02,7567.15
292,2018-08-01,7624.91
293,2018-07-31,7780.44
294,2018-07-30,8180.48
295,2018-07-29,8218.46
296,2018-07-28,8192.15
297,2018-07-27,8165.01
298,2018-07-26,7951.58
299,2018-07-25,8181.39
300,2018-07-24,8424.27
301,2018-07-23,7711.11
302,2018-07-22,7418.49
303,2018-07-21,7419.29
304,2018-07-20,7354.13
305,2018-07-19,7466.86
306,2018-07-18,7370.78
307,2018-07-17,7321.04
308,2018-07-16,6741.75
309,2018-07-15,6359.64
310,2018-07-14,6276.12
311,2018-07-13,6238.05
312,2018-07-12,6228.81
313,2018-07-11,6394.71
314,2018-07-10,6329.95
315,2018-07-09,6741.75
316,2018-07-08,6773.88
317,2018-07-07,6856.93
318,2018-07-06,6673.5
319,2018-07-05,6639.14
320,2018-07-04,6597.55
321,2018-07-03,6529.59
322,2018-07-02,6614.18
323,2018-07-01,6385.82
324,2018-06-30,6404.0
325,2018-06-29,6218.3
326,2018-06-28,5903.44
327,2018-06-27,6157.13
328,2018-06-26,6093.67
329,2018-06-25,6249.18
330,2018-06-24,6173.23
331,2018-06-23,6162.48
332,2018-06-22,6083.69
333,2018-06-21,6729.74
334,2018-06-20,6776.55
335,2018-06-19,6769.94
336,2018-06-18,6734.82
337,2018-06-17,6499.27
338,2018-06-16,6550.16
339,2018-06-15,6456.58
340,2018-06-14,6675.35
341,2018-06-13,6349.9
342,2018-06-12,6582.36
343,2018-06-11,6906.92
344,2018-06-10,6786.02
345,2018-06-09,7531.98
346,2018-06-08,7624.92
347,2018-06-07,7678.24
348,2018-06-06,7653.98
349,2018-06-05,7633.76
350,2018-06-04,7514.47
351,2018-06-03,7720.25
352,2018-06-02,7643.45
353,2018-06-01,7541.45
354,2018-05-31,7494.17
355,2018-05-30,7406.52
356,2018-05-29,7472.59
357,2018-05-28,7135.99
358,2018-05-27,7368.22
359,2018-05-26,7355.88
360,2018-05-25,7480.14
361,2018-05-24,7587.34
362,2018-05-23,7557.82
363,2018-05-22,8041.78
364,2018-05-21,8418.99
365,2018-05-20,8513.25
366,2018-05-19,8247.18
367,2018-05-18,8250.97
368,2018-05-17,8094.32
369,2018-05-16,8368.83
370,2018-05-15,8510.38
371,2018-05-14,8716.79
372,2018-05-13,8723.94
373,2018-05-12,8504.89
374,2018-05-11,8441.49
375,2018-05-10,9043.94
376,2018-05-09,9325.18
377,2018-05-08,9234.82
378,2018-05-07,9373.01
379,2018-05-06,9654.8
380,2018-05-05,9858.15
381,2018-05-04,9700.76
382,2018-05-03,9743.86
383,2018-05-02,9235.92
384,2018-05-01,9119.01
385,2018-04-30,9240.55
386,2018-04-29,9419.08
387,2018-04-28,9348.48
388,2018-04-27,8987.05
389,2018-04-26,9281.51
390,2018-04-25,8845.74
391,2018-04-24,9697.5
392,2018-04-23,8930.88
393,2018-04-22,8802.46
394,2018-04-21,8895.58
395,2018-04-20,8845.83
396,2018-04-19,8294.31
397,2018-04-18,8163.42
398,2018-04-17,7902.09
399,2018-04-16,8058.67
400,2018-04-15,8329.11
401,2018-04-14,7986.24
402,2018-04-13,7895.96
403,2018-04-12,7889.25
404,2018-04-11,6968.32
405,2018-04-10,6834.76
406,2018-04-09,6770.73
407,2018-04-08,7023.52
408,2018-04-07,6911.09
409,2018-04-06,6636.32
410,2018-04-05,6811.47
411,2018-04-04,6853.84
412,2018-04-03,7456.11
413,2018-04-02,7083.8
414,2018-04-01,6844.23
415,2018-03-31,6973.53
416,2018-03-30,6890.52
417,2018-03-29,7165.7
418,2018-03-28,7954.48
419,2018-03-27,7833.04
420,2018-03-26,8209.4
421,2018-03-25,8495.78
422,2018-03-24,8668.12
423,2018-03-23,8879.62
424,2018-03-22,8728.47
425,2018-03-21,8929.28
426,2018-03-20,8913.47
427,2018-03-19,8630.65
428,2018-03-18,8223.68
429,2018-03-17,7916.88
430,2018-03-16,8338.35
431,2018-03-15,8300.86
432,2018-03-14,8269.81
433,2018-03-13,9194.85
434,2018-03-12,9205.12
435,2018-03-11,9578.63
436,2018-03-10,8866.0
437,2018-03-09,9337.55
438,2018-03-08,9395.01
439,2018-03-07,9965.57
440,2018-03-06,10779.9
441,2018-03-05,11573.3
442,2018-03-04,11512.6
443,2018-03-03,11489.7
444,2018-03-02,11086.4
445,2018-03-01,10951.0
446,2018-02-28,10397.9
447,2018-02-27,10725.6
448,2018-02-26,10366.7
449,2018-02-25,9664.73
450,2018-02-24,9813.07
451,2018-02-23,10301.1
452,2018-02-22,10005.0
453,2018-02-21,10690.4
454,2018-02-20,11403.7
455,2018-02-19,11225.3
456,2018-02-18,10551.8
457,2018-02-17,11112.7
458,2018-02-16,10233.9
459,2018-02-15,10166.4
460,2018-02-14,9494.63
461,2018-02-13,8598.31
462,2018-02-12,8926.57
463,2018-02-11,8129.97
464,2018-02-10,8621.9
465,2018-02-09,8736.98
466,2018-02-08,8265.59
467,2018-02-07,7621.3
468,2018-02-06,7754.0
469,2018-02-05,6955.27
470,2018-02-04,8277.01
471,2018-02-03,9174.91
